trade_id,trade_date,commodity,buy_sell,volume_barrels,trade_price_usd,contract_month
T0001,2024-02-02,Brent,Buy,100921,76.51,2024-05
T0002,2024-02-12,Brent,Buy,45486,78.32,2024-05
T0003,2023-12-12,Brent,Sell,48335,79.34,2024-07
T0004,2024-03-27,Brent,Buy,126900,80.89,2024-07
T0005,2023-11-23,Brent,Sell,142795,94.92,2024-04
T0006,2024-01-23,Brent,Buy,129112,88.94,2024-06
T0007,2024-02-22,Brent,Sell,137203,82.68,2024-04
T0008,2024-03-28,Brent,Buy,51130,89.74,2024-07
T0009,2023-10-16,Brent,Buy,127508,93.31,2024-08
T0010,2023-11-28,Brent,Sell,145955,94.17,2024-07
T0011,2024-02-15,Brent,Buy,158324,76.16,2024-08
T0012,2023-10-10,Brent,Buy,100566,82.89,2024-03
T0013,2024-02-02,Brent,Sell,106703,77.14,2024-07
T0014,2024-03-05,Brent,Sell,67192,81.71,2024-03
T0015,2023-12-22,Brent,Buy,41062,78.39,2024-06
T0016,2024-03-06,Brent,Buy,124076,87.94,2024-04
T0017,2023-10-03,Brent,Buy,129780,82.77,2024-08
T0018,2024-03-28,Brent,Sell,61545,79.59,2024-04
T0019,2023-12-06,Brent,Buy,61689,80.32,2024-03
T0020,2023-11-21,Brent,Buy,51174,82.21,2024-08
T0021,2023-10-12,Brent,Buy,128461,80.2,2024-04
T0022,2024-02-15,Brent,Buy,143033,84.06,2024-07
T0023,2023-12-06,Brent,Sell,49348,75.65,2024-05
T0024,2023-12-14,Brent,Buy,63714,80.6,2024-03
T0025,2024-03-15,Brent,Sell,78102,83.22,2024-04
T0026,2024-03-11,Brent,Buy,114460,87.06,2024-03
T0027,2024-01-12,Brent,Buy,142634,80.42,2024-09
T0028,2024-03-06,Brent,Buy,129930,77.66,2024-03
T0029,2024-02-22,Brent,Buy,46801,76.52,2024-08
T0030,2024-01-25,Brent,Sell,143150,93.81,2024-09
T0031,2024-03-05,Brent,Sell,112267,83.33,2024-08
T0032,2024-02-15,Brent,Buy,88136,86.62,2024-05
T0033,2024-02-07,Brent,Sell,63625,93.38,2024-09
T0034,2024-03-27,Brent,Buy,122873,76.65,2024-07
T0035,2024-03-01,Brent,Sell,140843,92.53,2024-03
T0036,2024-01-23,Brent,Buy,112592,86.03,2024-04
T0037,2023-12-14,Brent,Sell,117052,78.3,2024-06
T0038,2024-01-03,Brent,Buy,84261,83.23,2024-03
T0039,2023-11-15,Brent,Buy,41542,90.55,2024-03
T0040,2023-10-30,Brent,Buy,61677,84.61,2024-05
T0041,2023-12-06,Brent,Buy,86732,94.71,2024-07
T0042,2024-03-27,Brent,Buy,90343,82.53,2024-06
T0043,2024-03-27,Brent,Buy,79081,89.99,2024-09
T0044,2023-11-15,Brent,Sell,102856,82.86,2024-09
T0045,2024-03-08,Brent,Buy,133105,91.58,2024-09
T0046,2024-03-14,Brent,Buy,128858,86.38,2024-08
T0047,2023-10-31,Brent,Sell,59065,76.27,2024-08
T0048,2023-11-22,Brent,Sell,123460,75.74,2024-04
T0049,2024-02-29,Brent,Buy,128092,77.68,2024-06
T0050,2023-12-11,Brent,Buy,94693,75.27,2024-09
T0051,2023-10-11,Brent,Sell,66962,76.51,2024-08
T0052,2023-11-07,Brent,Buy,68295,88.83,2024-04
T0053,2023-11-07,Brent,Sell,53807,85.69,2024-07
T0054,2023-10-30,Brent,Sell,82348,90.0,2024-04
T0055,2023-11-10,Brent,Buy,66432,93.26,2024-08
T0056,2024-02-13,Brent,Buy,123285,86.7,2024-05
T0057,2023-11-08,Brent,Sell,146995,89.52,2024-05
T0058,2024-03-04,Brent,Buy,131792,90.14,2024-09
T0059,2023-12-25,Brent,Buy,97854,82.56,2024-05
